行政區,不動產買賣件數,土地筆數,土地面積,建物棟數,建物面積,獸醫院數量,圖書館數量,診所數量
鹽埕區,19,35,327.61,14,854.21,0.0,1.0,34
鼓山區,134,169,4277.82,128,12095.07,14.0,2.0,158
左營區,198,249,6399.1,185,17231.14,27.0,2.0,332
楠梓區,462,519,14681.62,348,25442.7,13.0,3.0,168
三民區,508,601,15138.61,504,39516.74,38.0,4.0,506
新興區,81,148,2862.49,81,6536.61,12.0,2.0,179
前金區,73,144,2486.92,61,9796.52,5.0,2.0,81
苓雅區,342,512,9213.25,353,31073.03,34.0,2.0,306
前鎮區,190,249,7338.14,185,18738.6,12.0,3.0,184
旗津區,4,8,152.58,4,350.8,0.0,1.0,12
小港區,172,217,35248.88,150,15003.08,7.0,1.0,98
鳳山區,463,526,21079.47,448,34888.54,34.0,3.0,381
林園區,109,207,31982.77,63,8433.0,4.0,2.0,39
大寮區,212,357,129234.45,97,13887.98,4.0,2.0,64
大樹區,45,65,45590.81,20,2629.18,1.0,3.0,24
大社區,33,71,16099.71,17,3237.54,4.0,1.0,31
仁武區,287,440,72761.66,256,28365.17,10.0,2.0,60
鳥松區,63,92,15128.22,51,5384.34,1.0,1.0,18
岡山區,93,156,20574.2,77,10222.41,12.0,2.0,109
橋頭區,173,195,9914.63,159,12385.87,0.0,1.0,26
燕巢區,73,94,36808.29,13,2079.41,2.0,1.0,18
田寮區,7,8,6299.88,0,0.0,0.0,1.0,2
阿蓮區,20,27,13488.01,9,908.71,1.0,1.0,17
路竹區,66,104,52498.97,22,2361.99,1.0,1.0,40
湖內區,82,126,33679.45,47,5281.53,1.0,1.0,14
茄萣區,16,25,5932.4,5,580.76,0.0,1.0,21
永安區,7,14,14575.63,2,269.28,0.0,1.0,5
彌陀區,10,16,10004.31,2,294.84,1.0,2.0,9
梓官區,117,212,10949.81,105,7175.08,1.0,2.0,22
旗山區,42,83,86310.27,17,2069.89,2.0,1.0,50
美濃區,60,88,42352.93,14,1286.77,1.0,1.0,21
六龜區,11,11,10713.13,0,0.0,0.0,1.0,6
甲仙區,5,5,956.11,2,235.19,0.0,1.0,3
杉林區,10,20,33094.62,1,124.2,0.0,1.0,2
內門區,19,27,65500.8,2,226.76,1.0,4.0,3
茂林區,1,1,200.0,1,170.84,0.0,0.0,1
那瑪夏區,2,2,68646.0,0,0.0,0.0,0.0,2
