字號,機構名稱,負責獸醫,機構電話,機構地址
高市獸師開字第315號,檀儒動物醫院,江強華,07-3806983,高雄市三民區九如一路385號
高市獸佐開字第179號,慈愛動物醫院九如分院,時培經,07-3871966,高雄市三民區九如一路458號
高市建獸醫字第11號,信德動物醫院,鄭輝崇,07-3213016,高雄市三民區十全二路357號
高市建獸醫字第40號,興德動物醫院,王嘉和,07-2863471,高雄市三民區三民街118號
高市獸師開字第302號,品安動物醫院,高祥益,07-3851313,高雄市三民區大昌二路448號
高市建獸醫字第20號,宏一動物醫院,蔡忠宏,07-3848563,高雄市三民區大順二路443號
高市獸師開字第226號,中興動物醫院,張益福,07-3844631,高雄市三民區大豐二路118之1號
高市獸師開字第323號,大毛小毛動物醫院,胡鈞翔,07-7809102,高雄市三民區文濱路62號
高市建獸醫字第81號,北平動物醫院,林紹熙,07-3237226,高雄市三民區北平二街111號
高市建獸醫字第86號,順仁動物診所,王逸仁,07-3844808,高雄市三民區正忠路101號
高市獸師開字第231號,河堤動物醫院,楊淑如,07-3102803,高雄市三民區民族一路529之6號
高市獸師開字第339號,牽牽手動物醫院,余冠樺,07-3805191,高雄市三民區永年街38號
高市獸師開字第286號,中興河堤動物醫院,曾彥霖,07-3592702,高雄市三民區明吉路32號
高市獸師開字第280號,明仁動物醫院,林旻遠,07-3594649,高雄市三民區明哲路17號
高市獸師開字第201號,宏力動物醫院,馮宗宏,07-3102819,高雄市三民區明誠一路326號
高市獸師開字第334號,登羣貓專科醫院,林宛祈,07-3505008,高雄市三民區明誠二路42號
高市獸師開字第284號,謝老闆動物醫院,謝慈陽,07-3222819,高雄市三民區哈爾濱街29號
高市獸師開字第275號,蓋亞野生動物專科醫院,黃猷翔,07-3929353,高雄市三民區建工路611號
高市建獸醫字第87號,永吉動物醫院,涂世治,07-3805131,高雄市三民區建工路695號
高市獸師開字第367號,晨心動物醫院,涂冠暉,07-3925857,高雄市三民區建元路26號
高市建獸醫字第82號,安生動物醫院,吳茂森,07-2166677,高雄市三民區建國三路278號
高市建獸醫字第38號,盈煇動物醫院,陳熙灝,07-3847710,高雄市三民區建興路287號
高市建獸醫字第32號,台大綜合動物醫院,曾英仁,07-3111576,高雄市三民區博愛一路115號
高市獸師開字第264號,藍天動物醫院,邱冠綾,07-3229200,高雄市三民區博愛一路139號
高市建獸醫字第130號,琍生動物醫院,馮琮顯,07-3236626,高雄市三民區博愛一路273號
高市獸師開字第241號,立宏動物醫院,林立杰,07-3905656,高雄市三民區陽明路310號地下室、一樓、二樓
高市建獸醫字第17號,承宏家畜醫院,陳嘉承,07-3115322,高雄市三民區綏遠一街133號
高市獸佐開字第178號,義華動物醫院,鄭安佑,07-3839683,高雄市三民區義華路342號
高市建獸醫字第103號,全家福動物醫院,鍾勝昌,07-3845936,高雄市三民區義華路51號
高市建獸醫字第107號,鼎山動物醫院,陳全城,07-3831359,高雄市三民區鼎山街466號
高市建獸醫字第136號,健中動物醫院,李萬鵬,07-3474315,高雄市三民區鼎中路230號
高市獸師開字第187號,聖弘綜合動物醫院,葛玥妘,07-3103002,高雄市三民區鼎中路753之37號
高市建獸醫字第110號,惠明動物醫院,薛兆明,07-3161300,高雄市三民區嫩江街58號
高市獸師開字第377號,荷蘭醫生動物醫院,黃國祐,07-3986818,高雄市三民區澄清路401號
高市獸師開字第341號,文山動物醫院,張家瑋,07-3985789,高雄市三民區澄清路529號
高市建獸醫字第57號,張賽鴿動物醫院,張世民,07-3815680,高雄市三民區澄清路535號
高市獸師開字第366號,兩角銀馬匹專科診所,羅筱茜,0988-267-994,高雄市三民區遼寧一街10號
高市獸師開字第166號,聯合動物醫院,黃明祥,07-3963977,高雄市三民區覺民路74號
高縣獸醫開字第53號,大社家畜醫院,李約增,07-3517741,高雄市大社區三民路244號
高市獸師開字第353號,毛毛動物醫院,張原豪,07-3535316,高雄市大社區三民路270號
高市獸佐開字第61號,行樹動物診所,李權芳,07-3533337,高雄市大社區中山路82號
高市獸師開字第382號,忠平動物醫院,洪寶炬,07-3510588,高雄市大社區中山路98號一樓
高縣獸醫開字第220號,鳳屏動物醫院,吳昆和,07-7018987,高雄市大寮區鳳屏一路658號
高市獸師開字第254號,佰成動物醫院,吳玟軒,07-7867568,高雄市大寮區鳳林三路674號
高縣獸醫開字第148號,人人動物醫院,謝宗翰,07-7830515,高雄市大寮區鳳林三路827號
高市獸師開字第349號,聯盟鳳屏動物醫院,陳文婷,07-7021192,高雄市大寮區鳳屏一路35號
高縣獸醫開字第109號,富貴動物醫院,唐國祐,07-6519019,高雄市大樹區中興南路119號
高市獸師開字第245號,尚大動物醫院,陳泰霖,07-8019595,高雄市小港區大鵬路166號
高市建獸醫字第99號,桂林動物醫院,蔡富安,07-7910592,高雄市小港區中安路598號
高市建獸醫字第142號,崇仁動物醫院,蔡明倫,07-8225655,高雄市小港區平和路43號
高市建獸醫字第138號,平治動物醫院,莊庭昌,07-8061305,高雄市小港區宏平路534號
高市建獸醫字第133號,名人動物醫院,林顯堂,07-8017602,高雄市小港區沿海一路202號
高市獸師開字第317號,康莊動物醫院,莊正瑋,07-8069166,高雄市小港區康莊路15號
高市獸師開字第383號,崇愛行動獸醫院,陳水承,0916-276-759,高雄市小港區廠前路2號一樓
高市獸師開字第232號,明誠動物醫院,蘇悌,07-3107276,高雄市仁武區八德一路277號一樓
高縣獸醫開字第141號,佳佑動物醫院,許義政,07-3720780,高雄市仁武區大豐路112號
高縣獸醫開字第123號,仁安動物醫院,洪明郎,07-3744362,高雄市仁武區中華路205號
高縣獸醫開字第77號,傑美動物醫院,林國銘,07-3741284,高雄市仁武區仁忠路192號
